latitude,longitude,state,district,event_date,area_ha,severity,trigger
30.33760,79.30855,Uttarakhand,Chamoli,2017-07-14,4.09,0.1163,monsoon
30.44503,79.34143,Uttarakhand,Chamoli,2005-08-15,35.71,0.3061,monsoon
30.45643,79.27436,Uttarakhand,Chamoli,1998-07-19,8.86,0.3032,monsoon
30.28294,79.30951,Uttarakhand,Chamoli,2007-07-09,49.50,0.4845,monsoon
30.32187,79.33754,Uttarakhand,Chamoli,2018-09-27,18.69,0.0910,monsoon
30.40767,79.28144,Uttarakhand,Chamoli,1998-06-15,8.72,0.3253,monsoon
30.38103,79.32741,Uttarakhand,Chamoli,2020-08-09,55.27,0.6046,monsoon
30.39899,79.26028,Uttarakhand,Chamoli,2011-08-27,10.02,0.2281,monsoon
30.34882,79.27822,Uttarakhand,Chamoli,2001-07-26,17.15,0.3119,monsoon
30.45276,79.27710,Uttarakhand,Chamoli,2005-07-14,9.30,0.2735,monsoon
30.44667,79.22825,Uttarakhand,Chamoli,2011-06-01,7.02,0.2111,monsoon
30.40396,79.32922,Uttarakhand,Chamoli,2005-09-17,1.37,0.0688,monsoon
30.46763,79.27184,Uttarakhand,Chamoli,2000-09-16,3.42,0.1078,monsoon
30.42805,79.30075,Uttarakhand,Chamoli,2014-06-05,10.56,0.3750,monsoon
30.34844,79.32884,Uttarakhand,Chamoli,2014-06-18,3.30,0.8163,monsoon
30.42213,79.32679,Uttarakhand,Chamoli,2000-06-24,35.51,0.1236,monsoon
30.34247,79.33992,Uttarakhand,Chamoli,2005-06-03,40.87,0.1408,monsoon
30.45271,79.29409,Uttarakhand,Chamoli,2004-09-21,23.68,0.3376,monsoon
30.39700,79.27460,Uttarakhand,Chamoli,2014-09-04,19.15,0.3194,monsoon
30.38891,79.29522,Uttarakhand,Chamoli,2016-06-21,30.32,0.3748,monsoon
30.35914,79.19876,Uttarakhand,Chamoli,2016-08-12,52.51,0.3334,monsoon
30.47335,79.21317,Uttarakhand,Chamoli,2021-06-01,51.08,0.1674,monsoon
30.39073,79.22064,Uttarakhand,Chamoli,2017-07-28,2.70,0.2864,monsoon
30.37430,79.24017,Uttarakhand,Chamoli,2006-08-05,10.97,0.3568,monsoon
30.37887,79.32399,Uttarakhand,Chamoli,2000-08-17,14.28,0.5582,monsoon
30.43194,79.24567,Uttarakhand,Chamoli,2013-09-06,15.04,0.2407,monsoon
30.42193,79.27731,Uttarakhand,Chamoli,2020-06-27,34.32,0.2521,monsoon
30.42476,79.37795,Uttarakhand,Chamoli,2022-06-21,25.03,0.5636,monsoon
30.42585,79.27862,Uttarakhand,Chamoli,2003-07-23,3.05,0.1293,monsoon
30.52850,79.34425,Uttarakhand,Chamoli,2003-07-13,22.48,0.4683,monsoon
30.37562,79.24398,Uttarakhand,Chamoli,1998-09-14,31.47,0.1830,monsoon
30.36927,79.28767,Uttarakhand,Chamoli,2001-09-18,6.19,0.3547,monsoon
30.35117,79.24300,Uttarakhand,Chamoli,2011-07-22,50.02,0.3153,monsoon
30.43696,79.27966,Uttarakhand,Chamoli,2011-09-24,3.21,0.1276,monsoon
30.46774,79.35042,Uttarakhand,Chamoli,2007-07-01,55.50,0.1920,monsoon
30.39316,79.19636,Uttarakhand,Chamoli,2005-08-19,6.04,0.2841,monsoon
30.34959,79.32607,Uttarakhand,Chamoli,2018-07-04,50.63,0.1144,monsoon
30.35053,79.31426,Uttarakhand,Chamoli,2009-06-09,54.17,0.1495,monsoon
30.43904,79.26435,Uttarakhand,Chamoli,2018-09-24,58.78,0.3459,monsoon
30.44460,79.21324,Uttarakhand,Chamoli,2022-06-08,48.14,0.2610,monsoon
30.43259,79.30433,Uttarakhand,Chamoli,2005-06-23,46.79,0.2449,monsoon
30.36007,79.26823,Uttarakhand,Chamoli,2003-06-13,38.58,0.2823,monsoon
30.41393,79.31396,Uttarakhand,Chamoli,2021-07-07,46.76,0.2173,monsoon
30.40700,79.30131,Uttarakhand,Chamoli,2013-06-10,8.16,0.2585,monsoon
30.41312,79.39611,Uttarakhand,Chamoli,2005-06-15,32.21,0.2472,monsoon
30.45229,79.28564,Uttarakhand,Chamoli,2013-08-22,30.90,0.1359,monsoon
30.41342,79.23859,Uttarakhand,Chamoli,2010-09-17,51.47,0.5569,monsoon
30.44073,79.31076,Uttarakhand,Chamoli,2020-06-27,27.82,0.6677,monsoon
30.40405,79.31320,Uttarakhand,Chamoli,2004-07-25,23.17,0.0677,monsoon
30.41735,79.38155,Uttarakhand,Chamoli,2022-08-22,38.41,0.3172,monsoon
30.43788,79.35011,Uttarakhand,Chamoli,2021-09-17,16.06,0.5206,monsoon
30.31257,79.32141,Uttarakhand,Chamoli,2002-08-09,8.47,0.3254,monsoon
30.38082,79.38780,Uttarakhand,Chamoli,2002-09-12,28.72,0.4527,monsoon
30.37178,79.22867,Uttarakhand,Chamoli,2011-08-04,25.07,0.2481,monsoon
30.36167,79.26161,Uttarakhand,Chamoli,1999-07-11,14.03,0.0892,monsoon
30.38349,79.24441,Uttarakhand,Chamoli,2005-06-26,22.11,0.0468,monsoon
30.48970,79.27661,Uttarakhand,Chamoli,2008-09-12,22.05,0.3265,monsoon
30.34805,79.21740,Uttarakhand,Chamoli,2022-09-04,19.72,0.2339,monsoon
30.45810,79.33811,Uttarakhand,Chamoli,2022-06-19,22.83,0.2933,monsoon
30.29903,79.28667,Uttarakhand,Chamoli,2001-08-27,41.18,0.3258,monsoon
30.37991,79.21175,Uttarakhand,Chamoli,2020-06-25,17.88,0.1251,monsoon
30.40977,79.23907,Uttarakhand,Chamoli,2000-08-08,56.94,0.2482,monsoon
30.43517,79.31881,Uttarakhand,Chamoli,2016-09-13,54.99,0.4188,monsoon
30.44267,79.35029,Uttarakhand,Chamoli,2019-06-15,28.91,0.5316,monsoon
30.44760,79.41980,Uttarakhand,Chamoli,2020-07-07,19.77,0.2850,monsoon
30.37908,79.47483,Uttarakhand,Chamoli,2003-06-08,32.17,0.4947,monsoon
30.37226,79.32486,Uttarakhand,Chamoli,2020-08-07,50.93,0.1708,monsoon
30.45148,79.24063,Uttarakhand,Chamoli,2000-09-28,39.19,0.0977,monsoon
30.38852,79.17208,Uttarakhand,Chamoli,2010-06-21,48.28,0.0516,monsoon
30.32346,79.31606,Uttarakhand,Chamoli,2009-07-24,32.01,0.3281,monsoon
30.33200,79.25122,Uttarakhand,Chamoli,2005-09-23,38.01,0.1719,monsoon
30.34483,79.27508,Uttarakhand,Chamoli,1998-07-27,17.36,0.2327,monsoon
30.42983,79.26327,Uttarakhand,Chamoli,2017-06-03,44.12,0.1299,monsoon
31.63228,78.34901,Himachal Pradesh,Kinnaur,2007-06-06,7.95,0.4932,monsoon
31.53794,78.33751,Himachal Pradesh,Kinnaur,2004-09-26,9.86,0.2365,monsoon
31.61412,78.37510,Himachal Pradesh,Kinnaur,2020-07-25,41.11,0.4434,monsoon
31.51458,78.26872,Himachal Pradesh,Kinnaur,2011-08-28,20.43,0.1862,monsoon
31.62678,78.27388,Himachal Pradesh,Kinnaur,2009-06-26,57.30,0.2847,monsoon
31.55160,78.27125,Himachal Pradesh,Kinnaur,2022-08-07,14.69,0.7622,monsoon
31.52304,78.34745,Himachal Pradesh,Kinnaur,2013-06-06,6.03,0.4736,monsoon
31.64283,78.38990,Himachal Pradesh,Kinnaur,2020-07-10,45.23,0.2665,monsoon
31.61450,78.27247,Himachal Pradesh,Kinnaur,2022-08-14,52.87,0.3123,monsoon
31.56316,78.27451,Himachal Pradesh,Kinnaur,1999-06-25,16.76,0.3998,monsoon
31.68707,78.31884,Himachal Pradesh,Kinnaur,2007-07-21,12.21,0.1566,monsoon
31.57356,78.28525,Himachal Pradesh,Kinnaur,2016-08-19,11.23,0.2001,monsoon
31.60193,78.35712,Himachal Pradesh,Kinnaur,2018-06-25,31.37,0.1453,monsoon
31.61613,78.16489,Himachal Pradesh,Kinnaur,2001-07-19,28.16,0.5260,monsoon
31.56282,78.25040,Himachal Pradesh,Kinnaur,2005-07-11,15.64,0.3128,monsoon
31.62827,78.25306,Himachal Pradesh,Kinnaur,2011-08-12,2.81,0.2590,monsoon
31.56799,78.16078,Himachal Pradesh,Kinnaur,2017-09-15,28.94,0.1145,monsoon
31.57530,78.24218,Himachal Pradesh,Kinnaur,2000-09-03,57.56,0.4227,monsoon
31.68176,78.24509,Himachal Pradesh,Kinnaur,2013-06-21,39.19,0.2148,monsoon
31.53756,78.28793,Himachal Pradesh,Kinnaur,2005-06-19,29.78,0.1261,monsoon
31.45523,78.36678,Himachal Pradesh,Kinnaur,2003-06-21,6.73,0.3547,monsoon
31.69666,78.28530,Himachal Pradesh,Kinnaur,2010-08-15,15.22,0.2055,monsoon
31.75296,78.23815,Himachal Pradesh,Kinnaur,2008-06-22,17.76,0.1009,monsoon
31.57568,78.29658,Himachal Pradesh,Kinnaur,2013-06-27,45.91,0.1789,monsoon
31.48379,78.36295,Himachal Pradesh,Kinnaur,2005-09-16,52.61,0.2560,monsoon
31.58137,78.24144,Himachal Pradesh,Kinnaur,2018-09-13,54.11,0.2071,monsoon
31.58283,78.24537,Himachal Pradesh,Kinnaur,1999-09-03,59.08,0.4001,monsoon
31.58860,78.33351,Himachal Pradesh,Kinnaur,2019-07-22,58.94,0.3374,monsoon
31.53320,78.28671,Himachal Pradesh,Kinnaur,1998-08-26,57.18,0.1425,monsoon
31.63477,78.33885,Himachal Pradesh,Kinnaur,2016-08-20,4.40,0.4005,monsoon
31.63147,78.29918,Himachal Pradesh,Kinnaur,2006-06-25,8.35,0.1168,monsoon
31.51034,78.34210,Himachal Pradesh,Kinnaur,2007-08-25,18.34,0.3515,monsoon
31.64195,78.23790,Himachal Pradesh,Kinnaur,1998-08-23,33.22,0.4562,monsoon
31.72316,78.29927,Himachal Pradesh,Kinnaur,2015-07-15,5.91,0.2837,monsoon
31.61032,78.28736,Himachal Pradesh,Kinnaur,2002-09-03,50.76,0.3644,monsoon
31.57976,78.22705,Himachal Pradesh,Kinnaur,2014-08-01,37.04,0.2175,monsoon
31.59148,78.20619,Himachal Pradesh,Kinnaur,2016-08-06,32.59,0.3719,monsoon
31.63692,78.34114,Himachal Pradesh,Kinnaur,2019-08-13,10.00,0.0617,monsoon
31.49616,78.27894,Himachal Pradesh,Kinnaur,2015-09-21,15.27,0.4967,monsoon
31.60986,78.23866,Himachal Pradesh,Kinnaur,2005-08-13,9.70,0.3129,monsoon
31.57657,78.29423,Himachal Pradesh,Kinnaur,2016-07-01,51.13,0.0814,monsoon
31.71087,78.36768,Himachal Pradesh,Kinnaur,2018-09-06,35.10,0.2487,monsoon
31.58955,78.16316,Himachal Pradesh,Kinnaur,2005-08-28,44.13,0.3953,monsoon
31.70007,78.21020,Himachal Pradesh,Kinnaur,2001-09-28,17.83,0.3854,monsoon
31.53378,78.24463,Himachal Pradesh,Kinnaur,2020-06-11,22.34,0.2769,monsoon
31.63524,78.38767,Himachal Pradesh,Kinnaur,2001-07-23,24.35,0.1106,monsoon
31.61916,78.31696,Himachal Pradesh,Kinnaur,2012-09-21,45.62,0.2434,monsoon
31.54786,78.34604,Himachal Pradesh,Kinnaur,2003-08-27,46.36,0.3107,monsoon
31.61064,78.23159,Himachal Pradesh,Kinnaur,2001-09-25,12.49,0.1284,monsoon
31.67275,78.23283,Himachal Pradesh,Kinnaur,2017-06-18,56.50,0.2516,monsoon
31.58057,78.32687,Himachal Pradesh,Kinnaur,2001-06-12,7.33,0.5166,monsoon
31.49848,78.30350,Himachal Pradesh,Kinnaur,2014-09-18,53.78,0.1394,monsoon
31.59895,78.33292,Himachal Pradesh,Kinnaur,2015-07-09,6.11,0.4538,monsoon
31.54585,78.28874,Himachal Pradesh,Kinnaur,1999-08-10,15.95,0.5750,monsoon
31.57946,78.31669,Himachal Pradesh,Kinnaur,2002-07-18,50.80,0.1435,monsoon
31.59510,78.30949,Himachal Pradesh,Kinnaur,2017-07-16,10.85,0.1436,monsoon
31.49766,78.34667,Himachal Pradesh,Kinnaur,2010-09-17,24.87,0.4771,monsoon
31.50306,78.34842,Himachal Pradesh,Kinnaur,2001-06-11,27.05,0.1737,monsoon
31.62892,78.20281,Himachal Pradesh,Kinnaur,2022-09-12,14.79,0.0976,monsoon
31.56864,78.16516,Himachal Pradesh,Kinnaur,2004-09-01,42.64,0.1110,monsoon
31.44612,78.36010,Himachal Pradesh,Kinnaur,1998-08-17,51.09,0.5719,monsoon
31.64709,78.37126,Himachal Pradesh,Kinnaur,2021-07-17,52.49,0.0715,monsoon
31.61634,78.23876,Himachal Pradesh,Kinnaur,1998-06-27,20.43,0.0632,monsoon
31.55717,78.18841,Himachal Pradesh,Kinnaur,2011-08-15,31.90,0.2508,monsoon
31.52099,78.30594,Himachal Pradesh,Kinnaur,2022-07-14,14.98,0.5351,monsoon
31.65015,78.35585,Himachal Pradesh,Kinnaur,2012-06-02,14.76,0.3333,monsoon
31.62096,78.40786,Himachal Pradesh,Kinnaur,2012-07-06,9.76,0.3397,monsoon
31.74296,78.33098,Himachal Pradesh,Kinnaur,2007-09-10,56.41,0.6597,monsoon
31.62521,78.27770,Himachal Pradesh,Kinnaur,2001-07-11,53.29,0.1476,monsoon
31.62326,78.24641,Himachal Pradesh,Kinnaur,2012-06-11,46.66,0.3142,monsoon
31.58998,78.30069,Himachal Pradesh,Kinnaur,2020-08-12,31.11,0.1260,monsoon
11.78884,76.00546,Kerala,Wayanad,2003-08-12,14.53,0.0930,monsoon
11.75719,76.06031,Kerala,Wayanad,2008-07-18,45.13,0.2900,monsoon
11.64090,76.03055,Kerala,Wayanad,2015-06-23,18.90,0.5053,monsoon
11.71732,76.04208,Kerala,Wayanad,2017-08-11,16.44,0.4916,monsoon
11.69136,76.10321,Kerala,Wayanad,2010-07-15,7.94,0.3642,monsoon
11.66501,75.97494,Kerala,Wayanad,2009-06-02,26.39,0.3112,monsoon
11.72828,76.13686,Kerala,Wayanad,2009-08-21,18.25,0.0617,monsoon
11.87950,76.14523,Kerala,Wayanad,2019-06-14,22.22,0.2603,monsoon
11.79733,76.08493,Kerala,Wayanad,2007-08-13,14.24,0.3592,monsoon
11.87743,75.95116,Kerala,Wayanad,2004-06-15,45.81,0.0182,monsoon
11.82466,76.04021,Kerala,Wayanad,2007-07-07,55.81,0.0970,monsoon
11.84695,76.17397,Kerala,Wayanad,2002-09-17,29.93,0.5339,monsoon
11.74595,75.93332,Kerala,Wayanad,2007-06-21,38.62,0.4376,monsoon
11.83144,76.07915,Kerala,Wayanad,2000-09-10,52.04,0.0402,monsoon
11.84372,76.02920,Kerala,Wayanad,2000-08-04,59.93,0.2612,monsoon
11.76540,76.14827,Kerala,Wayanad,2016-09-11,36.85,0.1559,monsoon
11.83357,76.05949,Kerala,Wayanad,1999-06-06,53.40,0.1989,monsoon
11.83397,76.12424,Kerala,Wayanad,2012-08-11,54.53,0.1918,monsoon
11.76703,76.13393,Kerala,Wayanad,2017-09-18,47.51,0.1657,monsoon
11.73263,76.21017,Kerala,Wayanad,2016-09-04,27.71,0.2712,monsoon
11.72895,76.08782,Kerala,Wayanad,2009-06-21,4.96,0.2384,monsoon
11.80519,76.12256,Kerala,Wayanad,2002-09-07,1.05,0.1629,monsoon
11.81962,76.01090,Kerala,Wayanad,2021-06-26,28.68,0.2969,monsoon
11.75245,76.17142,Kerala,Wayanad,2018-08-21,29.71,0.2375,monsoon
11.80160,76.05437,Kerala,Wayanad,2013-07-08,24.50,0.1959,monsoon
11.83423,76.06635,Kerala,Wayanad,2000-08-16,34.13,0.1974,monsoon
11.83709,76.09867,Kerala,Wayanad,1998-08-04,33.17,0.1602,monsoon
11.89311,76.00623,Kerala,Wayanad,2005-06-03,50.21,0.5774,monsoon
11.87662,76.11373,Kerala,Wayanad,2001-08-27,6.61,0.4737,monsoon
11.73992,76.15805,Kerala,Wayanad,2019-09-23,13.59,0.5129,monsoon
