latitude,longitude,state,district,event_date,area_ha,severity,trigger
25.58797,91.89152,Meghalaya,East Khasi Hills,2018-09-06,39.34,0.1418,monsoon
25.45099,91.90405,Meghalaya,East Khasi Hills,2001-07-05,12.68,0.1501,monsoon
25.49745,91.90690,Meghalaya,East Khasi Hills,2019-08-14,58.76,0.3008,monsoon
25.50541,91.90972,Meghalaya,East Khasi Hills,2008-08-26,5.97,0.3422,monsoon
25.44083,91.96236,Meghalaya,East Khasi Hills,2014-08-23,49.77,0.3146,monsoon
25.49666,91.83484,Meghalaya,East Khasi Hills,2011-09-15,35.69,0.2537,monsoon
25.50032,91.91054,Meghalaya,East Khasi Hills,2005-06-06,14.77,0.2724,monsoon
25.56841,91.97740,Meghalaya,East Khasi Hills,2021-08-10,44.77,0.2552,monsoon
25.57245,91.79592,Meghalaya,East Khasi Hills,2003-08-20,5.16,0.2919,monsoon
25.48025,91.91078,Meghalaya,East Khasi Hills,1998-06-05,46.49,0.1727,monsoon
25.48716,91.86488,Meghalaya,East Khasi Hills,2016-08-15,35.44,0.5930,monsoon
25.53986,91.87776,Meghalaya,East Khasi Hills,2013-06-01,6.73,0.3753,monsoon
25.46489,91.84571,Meghalaya,East Khasi Hills,2020-07-10,4.86,0.2189,monsoon
25.53532,91.88983,Meghalaya,East Khasi Hills,2009-07-07,45.08,0.2775,monsoon
25.49473,92.01048,Meghalaya,East Khasi Hills,1998-06-20,17.65,0.2277,monsoon
25.44184,91.82413,Meghalaya,East Khasi Hills,1998-09-26,53.37,0.1344,monsoon
25.44259,91.82982,Meghalaya,East Khasi Hills,2008-06-05,45.75,0.4851,monsoon
25.58682,91.82188,Meghalaya,East Khasi Hills,2004-07-23,41.92,0.0374,monsoon
25.49061,92.00365,Meghalaya,East Khasi Hills,2021-09-19,16.79,0.1432,monsoon
25.59842,91.87226,Meghalaya,East Khasi Hills,2000-09-28,42.57,0.4865,monsoon
25.46918,91.89846,Meghalaya,East Khasi Hills,2020-06-26,56.89,0.4913,monsoon
25.51747,91.87583,Meghalaya,East Khasi Hills,2003-07-03,5.58,0.2439,monsoon
25.64356,91.84333,Meghalaya,East Khasi Hills,2000-08-21,19.64,0.1360,monsoon
25.43656,91.88589,Meghalaya,East Khasi Hills,2004-09-17,14.16,0.1283,monsoon
25.38613,92.04749,Meghalaya,East Khasi Hills,2001-09-04,23.66,0.2581,monsoon
25.57720,91.98352,Meghalaya,East Khasi Hills,2008-08-08,44.57,0.0952,monsoon
25.45039,91.84882,Meghalaya,East Khasi Hills,2006-06-26,28.51,0.3084,monsoon
25.49876,91.93885,Meghalaya,East Khasi Hills,2011-09-16,34.29,0.3755,monsoon
25.46484,91.85011,Meghalaya,East Khasi Hills,2011-06-10,18.92,0.2438,monsoon
25.51609,91.79342,Meghalaya,East Khasi Hills,1998-06-09,8.56,0.3075,monsoon
25.44297,91.96117,Meghalaya,East Khasi Hills,2001-08-24,16.09,0.3944,monsoon
25.48920,91.96961,Meghalaya,East Khasi Hills,2002-08-08,51.59,0.2720,monsoon
25.52699,91.96276,Meghalaya,East Khasi Hills,2002-06-05,36.18,0.2502,monsoon
25.43950,91.87181,Meghalaya,East Khasi Hills,2000-06-17,22.74,0.6432,monsoon
25.45799,91.88999,Meghalaya,East Khasi Hills,2005-08-28,47.42,0.3316,monsoon
25.47916,91.94499,Meghalaya,East Khasi Hills,2011-07-06,3.96,0.4022,monsoon
25.41427,91.92349,Meghalaya,East Khasi Hills,2005-08-08,15.31,0.3203,monsoon
25.47465,91.87638,Meghalaya,East Khasi Hills,2006-07-14,13.88,0.2893,monsoon
25.50713,91.80286,Meghalaya,East Khasi Hills,2009-08-06,59.12,0.2826,monsoon
25.47603,91.90683,Meghalaya,East Khasi Hills,2011-07-19,42.40,0.3833,monsoon
25.48372,91.96474,Meghalaya,East Khasi Hills,2006-07-08,37.11,0.0808,monsoon
25.49881,91.82814,Meghalaya,East Khasi Hills,2003-07-04,0.40,0.4880,monsoon
25.46066,91.93833,Meghalaya,East Khasi Hills,2008-08-08,11.14,0.2561,monsoon
25.54146,91.91989,Meghalaya,East Khasi Hills,1998-08-27,38.17,0.0602,monsoon
25.58616,91.94501,Meghalaya,East Khasi Hills,2010-08-27,22.85,0.1211,monsoon
25.47214,91.95232,Meghalaya,East Khasi Hills,2021-08-15,55.46,0.1275,monsoon
25.52911,91.85833,Meghalaya,East Khasi Hills,2007-06-12,45.91,0.0708,monsoon
25.48562,91.80298,Meghalaya,East Khasi Hills,2000-09-23,26.90,0.2702,monsoon
25.52193,91.86799,Meghalaya,East Khasi Hills,2015-08-06,45.00,0.3288,monsoon
25.59395,91.95335,Meghalaya,East Khasi Hills,2001-08-19,58.53,0.1896,monsoon
25.53052,91.86748,Meghalaya,East Khasi Hills,2002-09-20,27.71,0.1886,monsoon
25.39360,91.85836,Meghalaya,East Khasi Hills,2001-09-20,38.59,0.1034,monsoon
25.52724,91.79072,Meghalaya,East Khasi Hills,2020-08-07,55.13,0.3438,monsoon
25.57397,92.00516,Meghalaya,East Khasi Hills,2022-09-21,15.00,0.5101,monsoon
25.48670,91.94954,Meghalaya,East Khasi Hills,2012-07-18,53.20,0.1827,monsoon
25.55974,91.94619,Meghalaya,East Khasi Hills,2013-08-25,5.94,0.1835,monsoon
25.45859,91.95806,Meghalaya,East Khasi Hills,2014-07-05,38.94,0.3966,monsoon
25.41087,91.93460,Meghalaya,East Khasi Hills,2013-08-18,46.99,0.2771,monsoon
25.50847,91.88534,Meghalaya,East Khasi Hills,2011-06-24,36.91,0.1591,monsoon
25.39461,91.89017,Meghalaya,East Khasi Hills,2022-09-08,29.78,0.2713,monsoon
25.48561,91.87435,Meghalaya,East Khasi Hills,2016-06-21,37.08,0.0832,monsoon
25.57721,92.05808,Meghalaya,East Khasi Hills,2000-08-03,9.18,0.1852,monsoon
25.38541,91.93335,Meghalaya,East Khasi Hills,2007-06-21,13.01,0.1894,monsoon
25.42323,91.87217,Meghalaya,East Khasi Hills,2022-06-17,16.27,0.3209,monsoon
25.43808,91.92793,Meghalaya,East Khasi Hills,2008-09-06,35.91,0.4593,monsoon
25.49620,91.83935,Meghalaya,East Khasi Hills,2003-09-02,26.57,0.3419,monsoon
25.47806,91.99027,Meghalaya,East Khasi Hills,2019-06-21,14.74,0.2472,monsoon
25.58395,91.86034,Meghalaya,East Khasi Hills,2013-06-07,52.98,0.2921,monsoon
25.55726,91.93007,Meghalaya,East Khasi Hills,2012-09-14,22.50,0.1554,monsoon
25.52972,91.96396,Meghalaya,East Khasi Hills,2008-09-02,26.82,0.3560,monsoon
25.50874,91.92309,Meghalaya,East Khasi Hills,2001-06-27,24.64,0.5554,monsoon
25.52359,91.90567,Meghalaya,East Khasi Hills,2007-08-16,11.00,0.2557,monsoon
25.44828,91.90065,Meghalaya,East Khasi Hills,2008-07-27,43.92,0.3646,monsoon
25.55143,91.89661,Meghalaya,East Khasi Hills,2021-08-05,26.96,0.1489,monsoon
25.43328,91.86540,Meghalaya,East Khasi Hills,2005-07-06,1.07,0.3577,monsoon
25.55012,91.87303,Meghalaya,East Khasi Hills,2001-06-18,57.84,0.4217,monsoon
25.57117,91.98878,Meghalaya,East Khasi Hills,2008-07-17,48.96,0.3477,monsoon
25.51265,91.89349,Meghalaya,East Khasi Hills,2022-08-23,43.44,0.4754,monsoon
25.48943,91.85285,Meghalaya,East Khasi Hills,2010-09-26,52.16,0.4171,monsoon
25.52402,91.86902,Meghalaya,East Khasi Hills,2007-06-24,54.42,0.3524,monsoon
25.32831,91.96602,Meghalaya,East Khasi Hills,2014-09-04,20.32,0.2980,monsoon
25.51814,91.94054,Meghalaya,East Khasi Hills,2014-08-09,36.70,0.2959,monsoon
25.49320,91.93362,Meghalaya,East Khasi Hills,2005-09-26,36.57,0.1864,monsoon
25.49696,91.88455,Meghalaya,East Khasi Hills,2022-09-16,16.11,0.0474,monsoon
25.54239,91.93440,Meghalaya,East Khasi Hills,2012-06-25,13.39,0.4090,monsoon
25.49551,91.86139,Meghalaya,East Khasi Hills,1999-06-16,6.92,0.3924,monsoon
25.43159,91.88442,Meghalaya,East Khasi Hills,2008-09-02,39.59,0.4201,monsoon
25.23523,91.62397,Meghalaya,East Khasi Hills,2004-07-22,24.49,0.2373,monsoon
25.35945,91.63832,Meghalaya,East Khasi Hills,2004-07-17,39.87,0.4340,monsoon
25.42585,91.74330,Meghalaya,East Khasi Hills,2008-06-26,29.63,0.1734,monsoon
25.19429,91.76502,Meghalaya,East Khasi Hills,2008-07-14,22.84,0.5977,monsoon
25.27923,91.64256,Meghalaya,East Khasi Hills,2006-08-13,53.11,0.1242,monsoon
25.37589,91.70144,Meghalaya,East Khasi Hills,2015-08-24,46.39,0.3769,monsoon
25.21318,91.61711,Meghalaya,East Khasi Hills,2020-08-03,31.62,0.2063,monsoon
25.33400,91.68913,Meghalaya,East Khasi Hills,2006-07-11,57.01,0.1555,monsoon
25.37329,91.75022,Meghalaya,East Khasi Hills,2001-06-23,25.52,0.1076,monsoon
25.30469,91.67390,Meghalaya,East Khasi Hills,2018-06-09,47.31,0.4327,monsoon
25.33302,91.68506,Meghalaya,East Khasi Hills,2019-06-25,10.16,0.1112,monsoon
25.40565,91.63221,Meghalaya,East Khasi Hills,2021-08-08,17.22,0.4670,monsoon
25.41691,91.66110,Meghalaya,East Khasi Hills,2004-09-12,20.35,0.3988,monsoon
25.29628,91.80549,Meghalaya,East Khasi Hills,2015-09-26,6.44,0.2572,monsoon
25.26806,91.70438,Meghalaya,East Khasi Hills,2015-07-07,30.16,0.5846,monsoon
25.24480,91.63986,Meghalaya,East Khasi Hills,2017-06-28,11.62,0.4072,monsoon
25.35862,91.68111,Meghalaya,East Khasi Hills,2018-08-02,38.09,0.0590,monsoon
25.21769,91.60415,Meghalaya,East Khasi Hills,2021-06-08,11.49,0.3109,monsoon
25.28485,91.63915,Meghalaya,East Khasi Hills,2009-08-17,7.50,0.3815,monsoon
25.30616,91.78162,Meghalaya,East Khasi Hills,1999-07-17,58.15,0.2032,monsoon
25.26982,91.69145,Meghalaya,East Khasi Hills,2002-09-26,39.53,0.2655,monsoon
25.31679,91.81344,Meghalaya,East Khasi Hills,2020-08-27,56.19,0.3457,monsoon
25.45387,91.69428,Meghalaya,East Khasi Hills,2019-08-19,29.44,0.2491,monsoon
25.29270,91.69784,Meghalaya,East Khasi Hills,1998-07-19,2.10,0.1763,monsoon
25.27388,91.73845,Meghalaya,East Khasi Hills,2007-09-09,34.50,0.1133,monsoon
25.36092,91.53964,Meghalaya,East Khasi Hills,2004-08-23,33.54,0.5666,monsoon
25.31438,91.71230,Meghalaya,East Khasi Hills,2006-08-19,1.00,0.2237,monsoon
25.38636,91.69706,Meghalaya,East Khasi Hills,2013-07-01,51.69,0.3614,monsoon
25.30988,91.78916,Meghalaya,East Khasi Hills,2010-07-24,37.24,0.2055,monsoon
25.28509,91.75788,Meghalaya,East Khasi Hills,2010-09-11,44.71,0.4443,monsoon
25.19298,91.63198,Meghalaya,East Khasi Hills,2008-07-14,29.69,0.2399,monsoon
25.20282,91.77453,Meghalaya,East Khasi Hills,2014-06-14,37.14,0.4853,monsoon
25.18986,91.68426,Meghalaya,East Khasi Hills,2015-07-23,15.52,0.3010,monsoon
25.32276,91.64573,Meghalaya,East Khasi Hills,1999-07-08,58.43,0.0561,monsoon
25.21827,91.71183,Meghalaya,East Khasi Hills,2001-07-11,24.10,0.1571,monsoon
25.37533,91.68783,Meghalaya,East Khasi Hills,2006-06-02,9.82,0.2732,monsoon
25.30181,91.79231,Meghalaya,East Khasi Hills,2008-06-10,3.45,0.2633,monsoon
25.28535,91.72044,Meghalaya,East Khasi Hills,2022-07-03,38.21,0.4550,monsoon
25.24937,91.71234,Meghalaya,East Khasi Hills,2020-07-17,59.00,0.4358,monsoon
25.33734,91.75404,Meghalaya,East Khasi Hills,2014-06-26,53.76,0.3040,monsoon
25.25173,91.76557,Meghalaya,East Khasi Hills,1998-07-14,42.16,0.1959,monsoon
25.24088,91.74702,Meghalaya,East Khasi Hills,2000-07-26,59.44,0.0843,monsoon
25.37130,91.78517,Meghalaya,East Khasi Hills,2009-06-28,43.40,0.1491,monsoon
25.32128,91.73652,Meghalaya,East Khasi Hills,2012-07-02,20.42,0.1690,monsoon
25.28590,91.71006,Meghalaya,East Khasi Hills,2014-07-15,36.11,0.1945,monsoon
25.33849,91.77435,Meghalaya,East Khasi Hills,2001-06-15,4.88,0.2236,monsoon
25.30054,91.69455,Meghalaya,East Khasi Hills,2020-09-11,13.38,0.1216,monsoon
25.32298,91.70199,Meghalaya,East Khasi Hills,2010-06-24,25.11,0.2935,monsoon
25.25099,91.80329,Meghalaya,East Khasi Hills,2012-08-12,12.19,0.0720,monsoon
